station,o_IO104.csv
                                             
date,time,Hs,Hmax,Tz,Dir,Lw,Hs,Hmax,Lw,Dir,sl_Hs,sl_Tp,sl_Dir,sl_Hs,Dir,Tp
yyyymmdd,hhmmss,m,m,s,deg,m,ft,ft,ft,dir from,m,s,deg,ft,dir,s
20200201,120000,0.41,0.75,3.69,181.4,22.50,1.36,2.44,73.82,S,0.00,0.00,0.0,0.00,-,4.10
20200201,130000,0.41,0.74,3.72,179.1,22.80,1.35,2.43,74.80,S,0.00,0.00,0.0,0.00,-,4.10
20200201,140000,0.41,0.74,3.75,176.6,23.20,1.35,2.42,76.12,S,0.00,0.00,0.0,0.00,-,4.10
20200201,150000,0.41,0.73,3.78,174.1,23.50,1.34,2.41,77.10,S,0.00,0.00,0.0,0.00,-,4.10
20200201,160000,0.40,0.72,3.78,172.2,23.50,1.32,2.37,77.10,S,0.00,0.00,0.0,0.00,-,4.10
20200201,170000,0.41,0.73,3.61,173.1,22.00,1.34,2.41,72.18,S,0.39,4.13,170.4,1.28,S,4.10
20200201,180000,0.61,1.10,3.17,274.8,16.80,2.00,3.61,55.12,W,0.34,4.14,168.3,1.12,SSE,3.10
20200201,190000,0.83,1.50,3.49,296.6,20.10,2.74,4.93,65.94,WNW,0.29,4.15,166.7,0.95,SSE,3.80
20200201,200000,1.04,1.87,3.88,302.2,24.90,3.40,6.12,81.69,WNW,0.23,4.16,165.5,0.75,SSE,4.20
20200201,210000,1.19,2.14,4.23,303.9,29.70,3.90,7.02,97.44,NW,0.19,4.17,163.8,0.62,SSE,4.60
20200201,220000,1.33,2.40,4.53,305.0,34.10,4.37,7.87,111.88,NW,0.15,4.20,161.4,0.49,SSE,5.00
20200201,230000,1.43,2.57,4.74,307.9,37.30,4.68,8.43,122.38,NW,0.13,4.26,160.0,0.43,SSE,5.20
20200202,000000,1.43,2.57,4.80,311.9,38.20,4.69,8.43,125.33,NW,0.12,4.58,160.1,0.39,SSE,5.40
20200202,010000,1.37,2.46,4.75,315.8,37.50,4.48,8.06,123.03,NW,0.11,4.85,160.5,0.36,SSE,5.30
20200202,020000,1.27,2.28,4.65,319.4,35.90,4.16,7.49,117.78,NW,0.10,4.91,160.6,0.33,SSE,5.10
20200202,030000,1.17,2.11,4.52,322.9,33.90,3.85,6.93,111.22,NW,0.10,4.94,160.7,0.33,SSE,5.00
20200202,040000,1.09,1.96,4.40,326.1,32.20,3.57,6.43,105.64,NW,0.09,4.93,160.6,0.30,SSE,4.90
20200202,050000,1.02,1.84,4.29,328.5,30.50,3.35,6.03,100.07,NNW,0.08,4.89,160.4,0.26,SSE,4.80
20200202,060000,0.96,1.74,4.19,330.7,29.10,3.17,5.70,95.47,NNW,0.07,4.85,160.0,0.23,SSE,4.60
20200202,070000,0.91,1.65,4.10,332.7,27.90,3.00,5.40,91.54,NNW,0.07,4.82,159.3,0.23,SSE,4.50
20200202,080000,0.87,1.56,4.01,333.9,26.70,2.85,5.13,87.60,NNW,0.06,4.84,158.0,0.20,SSE,4.50
20200202,090000,0.83,1.50,3.92,334.2,25.50,2.74,4.93,83.66,NNW,0.06,4.87,156.4,0.20,SSE,4.40
20200202,100000,0.81,1.46,3.84,333.8,24.50,2.66,4.78,80.38,NNW,0.05,4.88,154.8,0.16,SSE,4.30
20200202,110000,0.79,1.43,3.77,333.6,23.60,2.60,4.69,77.43,NNW,0.05,4.85,153.2,0.16,SSE,4.20
20200202,120000,0.78,1.40,3.71,333.8,22.90,2.55,4.59,75.13,NNW,0.00,0.00,0.0,0.00,-,4.10
20200202,130000,0.75,1.36,3.66,334.7,22.30,2.47,4.45,73.16,NNW,0.00,0.00,0.0,0.00,-,4.10
20200202,140000,0.72,1.29,3.61,336.5,21.70,2.36,4.24,71.19,NNW,0.00,0.00,0.0,0.00,-,4.00
20200202,150000,0.67,1.21,3.55,339.4,21.00,2.20,3.96,68.90,NNW,0.00,0.00,0.0,0.00,-,4.00
20200202,160000,0.60,1.07,3.51,344.8,20.60,1.95,3.51,67.59,NNW,0.00,0.00,0.0,0.00,-,4.00
20200202,170000,0.53,0.95,3.50,351.6,20.60,1.73,3.11,67.59,N,0.00,0.00,0.0,0.00,-,4.10
20200202,180000,0.48,0.87,3.50,357.2,20.70,1.59,2.86,67.91,N,0.00,0.00,0.0,0.00,-,4.10
20200202,190000,0.45,0.82,3.48,1.0,20.50,1.49,2.68,67.26,N,0.00,0.00,0.0,0.00,-,4.10
20200202,200000,0.45,0.80,3.43,4.0,20.00,1.47,2.64,65.62,N,0.00,0.00,0.0,0.00,-,4.10
20200202,210000,0.49,0.88,3.48,8.9,20.50,1.61,2.90,67.26,N,0.00,0.00,0.0,0.00,-,4.20
20200202,220000,0.57,1.03,3.62,13.0,22.10,1.88,3.38,72.51,NNE,0.00,0.00,0.0,0.00,-,4.20
20200202,230000,0.64,1.15,3.70,12.5,23.20,2.09,3.77,76.12,NNE,0.00,0.00,0.0,0.00,-,4.30
20200203,000000,0.67,1.21,3.74,10.6,23.70,2.20,3.96,77.76,N,0.00,0.00,0.0,0.00,-,4.30
20200203,010000,0.70,1.26,3.77,9.1,24.00,2.29,4.12,78.74,N,0.00,0.00,0.0,0.00,-,4.40
20200203,020000,0.74,1.33,3.80,7.9,24.30,2.43,4.37,79.72,N,0.00,0.00,0.0,0.00,-,4.30
20200203,030000,0.79,1.42,3.85,7.2,24.90,2.59,4.67,81.69,N,0.00,0.00,0.0,0.00,-,4.40
20200203,040000,0.83,1.50,3.92,6.5,25.80,2.73,4.92,84.65,N,0.00,0.00,0.0,0.00,-,4.40
20200203,050000,0.86,1.56,3.98,5.3,26.50,2.83,5.10,86.94,N,0.00,0.00,0.0,0.00,-,4.50
20200203,060000,0.89,1.60,4.02,3.7,27.00,2.92,5.26,88.58,N,0.00,0.00,0.0,0.00,-,4.50
20200203,070000,0.91,1.63,4.06,1.2,27.50,2.98,5.36,90.22,N,0.00,0.00,0.0,0.00,-,4.50
20200203,080000,0.92,1.65,4.08,357.5,27.70,3.00,5.40,90.88,N,0.00,0.00,0.0,0.00,-,4.60
20200203,090000,0.91,1.64,4.06,353.4,27.50,3.00,5.39,90.22,N,0.00,0.00,0.0,0.00,-,4.50
20200203,100000,0.91,1.63,4.03,349.1,27.00,2.98,5.36,88.58,N,0.00,0.00,0.0,0.00,-,4.50
20200203,110000,0.90,1.62,3.99,345.4,26.60,2.95,5.31,87.27,NNW,0.00,0.00,0.0,0.00,-,4.50
20200203,120000,0.89,1.59,3.96,342.4,26.10,2.91,5.23,85.63,NNW,0.00,0.00,0.0,0.00,-,4.50
20200203,130000,0.86,1.54,3.91,340.0,25.50,2.81,5.07,83.66,NNW,0.00,0.00,0.0,0.00,-,4.40
20200203,140000,0.81,1.47,3.84,337.8,24.60,2.67,4.81,80.71,NNW,0.00,0.00,0.0,0.00,-,4.30
20200203,150000,0.76,1.37,3.75,335.7,23.50,2.49,4.49,77.10,NNW,0.00,0.00,0.0,0.00,-,4.10
20200203,160000,0.70,1.26,3.65,333.9,22.20,2.30,4.14,72.83,NNW,0.00,0.00,0.0,0.00,-,4.10
20200203,170000,0.64,1.16,3.54,333.2,20.90,2.12,3.81,68.57,NNW,0.00,0.00,0.0,0.00,-,4.00
20200203,180000,0.60,1.08,3.44,333.5,19.80,1.97,3.55,64.96,NNW,0.00,0.00,0.0,0.00,-,3.90
20200203,190000,0.58,1.04,3.36,334.0,18.90,1.89,3.41,62.01,NNW,0.00,0.00,0.0,0.00,-,3.80
20200203,200000,0.59,1.05,3.31,335.2,18.30,1.92,3.46,60.04,NNW,0.00,0.00,0.0,0.00,-,3.70
20200203,210000,0.64,1.14,3.37,338.1,18.90,2.09,3.76,62.01,NNW,0.00,0.00,0.0,0.00,-,3.70
20200203,220000,0.70,1.25,3.50,340.7,20.40,2.29,4.12,66.93,NNW,0.00,0.00,0.0,0.00,-,3.90
20200203,230000,0.73,1.32,3.60,341.3,21.60,2.40,4.32,70.87,NNW,0.00,0.00,0.0,0.00,-,4.00
20200204,000000,0.74,1.33,3.66,340.8,22.30,2.43,4.38,73.16,NNW,0.00,0.00,0.0,0.00,-,4.10
20200204,010000,0.73,1.32,3.68,339.4,22.60,2.40,4.33,74.15,NNW,0.00,0.00,0.0,0.00,-,4.10
20200204,020000,0.71,1.28,3.67,337.2,22.40,2.33,4.19,73.49,NNW,0.00,0.00,0.0,0.00,-,4.10
20200204,030000,0.65,1.17,3.68,334.0,22.50,2.14,3.84,73.82,NNW,0.00,0.00,0.0,0.00,-,4.10
20200204,040000,0.59,1.06,3.68,330.8,22.40,1.94,3.49,73.49,NNW,0.12,4.34,27.6,0.39,NNE,4.10
20200204,050000,0.54,0.98,3.64,329.7,22.00,1.78,3.21,72.18,NNW,0.20,3.74,26.9,0.66,NNE,4.10
20200204,060000,0.50,0.90,3.58,331.2,21.20,1.64,2.95,69.55,NNW,0.21,3.83,27.2,0.69,NNE,4.00
20200204,070000,0.46,0.83,3.49,333.6,20.10,1.51,2.72,65.94,NNW,0.22,3.86,26.0,0.72,NNE,3.90
20200204,080000,0.43,0.77,3.37,335.6,18.80,1.40,2.52,61.68,NNW,0.21,3.78,26.5,0.69,NNE,3.70
20200204,090000,0.40,0.71,3.23,336.9,17.30,1.30,2.34,56.76,NNW,0.19,3.94,27.5,0.62,NNE,3.70
20200204,100000,0.37,0.67,3.07,337.6,15.70,1.22,2.20,51.51,NNW,0.20,3.63,24.4,0.66,NNE,3.50
20200204,110000,0.35,0.63,2.94,338.8,14.40,1.15,2.08,47.24,NNW,0.00,0.00,0.0,0.00,-,3.30
20200204,120000,0.33,0.60,2.85,340.7,13.40,1.09,1.96,43.96,NNW,0.00,0.00,0.0,0.00,-,3.20
20200204,130000,0.32,0.57,2.78,343.5,12.70,1.04,1.87,41.67,NNW,0.00,0.00,0.0,0.00,-,3.00
20200204,140000,0.30,0.55,2.74,346.6,12.30,0.99,1.79,40.35,NNW,0.00,0.00,0.0,0.00,-,3.00
20200204,150000,0.28,0.51,2.72,349.4,12.10,0.92,1.66,39.70,N,0.00,0.00,0.0,0.00,-,2.90
20200204,160000,0.25,0.46,2.74,351.5,12.20,0.83,1.49,40.03,N,0.00,0.00,0.0,0.00,-,2.80
20200204,170000,0.23,0.41,2.73,353.0,12.20,0.75,1.35,40.03,N,0.15,2.76,21.4,0.49,NNE,2.80
20200204,180000,0.21,0.37,2.70,353.4,11.80,0.68,1.22,38.71,N,0.00,0.00,0.0,0.00,-,2.70
20200204,190000,0.19,0.33,2.63,352.7,11.20,0.61,1.10,36.75,N,0.00,0.00,0.0,0.00,-,2.70
20200204,200000,0.17,0.30,2.55,351.9,10.60,0.55,0.99,34.78,N,0.00,0.00,0.0,0.00,-,2.70
20200204,210000,0.15,0.27,2.45,351.0,9.80,0.49,0.89,32.15,N,0.10,2.73,19.0,0.33,NNE,2.60
20200204,220000,0.15,0.26,2.31,349.6,8.70,0.48,0.86,28.54,N,0.00,0.00,0.0,0.00,-,2.50
20200204,230000,0.25,0.44,2.12,354.6,7.40,0.81,1.45,24.28,N,0.00,0.00,0.0,0.00,-,2.40
20200205,000000,0.47,0.85,2.72,3.5,12.00,1.56,2.81,39.37,N,0.00,0.00,0.0,0.00,-,2.90
20200205,010000,0.63,1.14,3.11,6.4,15.90,2.08,3.75,52.17,N,0.00,0.00,0.0,0.00,-,3.30
20200205,020000,0.70,1.27,3.36,8.4,18.60,2.31,4.16,61.02,N,0.00,0.00,0.0,0.00,-,3.70
20200205,030000,0.70,1.25,3.44,11.0,19.60,2.29,4.12,64.30,N,0.00,0.00,0.0,0.00,-,3.70
20200205,040000,0.67,1.20,3.46,12.6,19.90,2.19,3.94,65.29,NNE,0.00,0.00,0.0,0.00,-,3.80
20200205,050000,0.63,1.14,3.42,12.1,19.50,2.07,3.73,63.98,NNE,0.00,0.00,0.0,0.00,-,3.80
20200205,060000,0.61,1.09,3.39,11.4,19.20,1.98,3.57,62.99,NNE,0.00,0.00,0.0,0.00,-,3.70
20200205,070000,0.56,1.02,3.39,12.2,19.20,1.85,3.34,62.99,NNE,0.00,0.00,0.0,0.00,-,3.80
20200205,080000,0.51,0.92,3.42,14.3,19.50,1.68,3.03,63.98,NNE,0.00,0.00,0.0,0.00,-,3.80
20200205,090000,0.47,0.85,3.44,15.9,19.80,1.54,2.78,64.96,NNE,0.00,0.00,0.0,0.00,-,3.90
20200205,100000,0.43,0.78,3.46,17.1,20.00,1.42,2.56,65.62,NNE,0.00,0.00,0.0,0.00,-,4.00
20200205,110000,0.40,0.71,3.45,18.0,19.90,1.30,2.34,65.29,NNE,0.00,0.00,0.0,0.00,-,3.90
20200205,120000,0.36,0.65,3.41,18.5,19.40,1.18,2.12,63.65,NNE,0.00,0.00,0.0,0.00,-,3.90
20200205,130000,0.32,0.58,3.35,18.7,18.60,1.06,1.90,61.02,NNE,0.00,0.00,0.0,0.00,-,3.80
20200205,140000,0.29,0.52,3.26,18.6,17.60,0.94,1.69,57.74,NNE,0.00,0.00,0.0,0.00,-,3.70
20200205,150000,0.26,0.46,3.16,17.9,16.50,0.84,1.52,54.13,NNE,0.00,0.00,0.0,0.00,-,3.50
20200205,160000,0.23,0.41,3.04,16.6,15.20,0.75,1.35,49.87,NNE,0.00,0.00,0.0,0.00,-,3.40
20200205,170000,0.20,0.37,2.92,15.0,14.00,0.67,1.20,45.93,NNE,0.00,0.00,0.0,0.00,-,3.20
20200205,180000,0.18,0.32,2.80,13.2,12.80,0.58,1.05,41.99,NNE,0.00,0.00,0.0,0.00,-,3.10
20200205,190000,0.15,0.28,2.69,11.6,11.80,0.51,0.91,38.71,NNE,0.00,0.00,0.0,0.00,-,2.90
20200205,200000,0.13,0.24,2.58,10.2,10.80,0.44,0.79,35.43,N,0.00,0.00,0.0,0.00,-,2.80
20200205,210000,0.12,0.21,2.48,9.1,10.00,0.38,0.68,32.81,N,0.00,0.00,0.0,0.00,-,2.70
20200205,220000,0.10,0.18,2.38,8.4,9.20,0.33,0.60,30.18,N,0.00,0.00,0.0,0.00,-,2.60
20200205,230000,0.09,0.16,2.31,8.3,8.70,0.30,0.54,28.54,N,0.00,0.00,0.0,0.00,-,2.50
20200206,000000,0.09,0.16,2.25,8.6,8.30,0.29,0.51,27.23,N,0.00,0.00,0.0,0.00,-,2.40
20200206,010000,0.09,0.15,2.17,8.9,7.70,0.28,0.50,25.26,N,0.00,0.00,0.0,0.00,-,2.40
20200206,020000,0.08,0.15,2.07,9.0,7.00,0.27,0.48,22.97,N,0.00,0.00,0.0,0.00,-,2.20
20200206,030000,0.08,0.14,1.97,9.2,6.40,0.26,0.46,21.00,N,0.00,0.00,0.0,0.00,-,2.20
20200206,040000,0.07,0.13,1.89,9.5,5.80,0.23,0.42,19.03,N,0.00,0.00,0.0,0.00,-,2.10
20200206,050000,0.06,0.11,1.82,10.4,5.40,0.20,0.36,17.72,N,0.00,0.00,0.0,0.00,-,1.90
20200206,060000,0.05,0.09,0.00,0.0,0.00,0.16,0.28,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,070000,0.04,0.06,0.00,0.0,0.00,0.11,0.21,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,080000,0.02,0.04,0.00,0.0,0.00,0.08,0.14,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,090000,0.01,0.03,0.00,0.0,0.00,0.05,0.08,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,100000,0.01,0.01,0.00,0.0,0.00,0.03,0.05,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,110000,0.00,0.01,0.00,0.0,0.00,0.01,0.02,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,120000,0.00,0.00,0.00,0.0,0.00,0.00,0.01,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,130000,0.00,0.01,0.00,0.0,0.00,0.01,0.02,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,140000,0.01,0.02,0.00,0.0,0.00,0.04,0.08,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,150000,0.04,0.07,0.00,0.0,0.00,0.13,0.23,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200206,160000,0.11,0.20,1.83,139.9,5.60,0.36,0.64,18.37,SE,0.00,0.00,0.0,0.00,-,1.90
20200206,170000,0.47,0.84,2.46,155.5,9.90,1.53,2.75,32.48,SSE,0.00,0.00,0.0,0.00,-,2.50
20200206,180000,0.53,0.96,2.95,157.1,14.10,1.75,3.15,46.26,SSE,0.00,0.00,0.0,0.00,-,3.10
20200206,190000,0.62,1.11,3.14,159.6,16.20,2.03,3.65,53.15,SSE,0.00,0.00,0.0,0.00,-,3.40
20200206,200000,0.69,1.23,3.32,161.8,18.30,2.25,4.05,60.04,SSE,0.00,0.00,0.0,0.00,-,3.70
20200206,210000,0.77,1.39,3.49,160.3,20.20,2.54,4.57,66.27,SSE,0.00,0.00,0.0,0.00,-,3.80
